Sku,Semana,Precio,Demanda
ARROZ EXTRA  X 5 KG COSTEÑO,201709,18.9,2468
ARROZ EXTRA  X 5 KG COSTEÑO,201710,19.2,1746
ARROZ EXTRA  X 5 KG COSTEÑO,201711,20.7,3941
ARROZ EXTRA  X 5 KG COSTEÑO,201712,18.4,4244
ARROZ EXTRA  X 5 KG COSTEÑO,201713,20.4,11699
ARROZ EXTRA  X 5 KG COSTEÑO,201714,24,1746
ARROZ EXTRA  X 5 KG COSTEÑO,201715,19.6,3941
ARROZ EXTRA  X 5 KG COSTEÑO,201716,18.9,4244
ARROZ EXTRA  X 5 KG COSTEÑO,201717,18.5,9231
ARROZ EXTRA  X 5 KG COSTEÑO,201718,18.9,10703
ARROZ EXTRA  X 5 KG COSTEÑO,201719,19.1,6751
ARROZ EXTRA  X 5 KG COSTEÑO,201720,17.3,11648
ARROZ EXTRA  X 5 KG COSTEÑO,201721,17.4,10219
ARROZ EXTRA  X 5 KG COSTEÑO,201722,18.1,13600
ARROZ EXTRA  X 5 KG COSTEÑO,201723,18.3,11005
ARROZ EXTRA  X 5 KG COSTEÑO,201724,17.8,9112
ARROZ EXTRA  X 5 KG COSTEÑO,201725,15.6,28216
ARROZ EXTRA  X 5 KG COSTEÑO,201726,17.5,14062
ARROZ EXTRA  X 5 KG COSTEÑO,201727,19.2,9304
ARROZ EXTRA  X 5 KG COSTEÑO,201728,19,9367
ARROZ EXTRA  X 5 KG COSTEÑO,201729,19.2,8284
ARROZ EXTRA  X 5 KG COSTEÑO,201730,14.9,31372
ARROZ EXTRA  X 5 KG COSTEÑO,201731,16.8,3487
ARROZ EXTRA  X 5 KG COSTEÑO,201732,19.2,4859
ARROZ EXTRA  X 5 KG COSTEÑO,201733,18.9,7503
ARROZ EXTRA  X 5 KG COSTEÑO,201734,16.3,24464
ARROZ EXTRA  X 5 KG COSTEÑO,201735,17.4,13449
